municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Nuñez,-34.5493419,-58.471131,65.0,60.0,3.0,170000.0
Flores,-34.634045,-58.460377,48.0,43.0,2.0,93000.0
San Telmo,-34.624173,-58.372616,116.0,114.0,5.0,210000.0
Barrio Norte,-34.5968526,-58.4117762,64.0,64.0,2.0,160000.0
Villa del Parque,-34.5993353,-58.4987234,124.0,119.0,4.0,260000.0
Belgrano,-34.5540795,-58.4550481,55.0,46.0,,162500.0
Flores,-34.6255349,-58.472011,96.0,86.0,,210000.0
Palermo,-34.5828888,-58.4082218,130.0,130.0,2.0,350000.0
Villa Crespo,-34.59475,-58.4398737,70.0,65.0,3.0,154500.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,125800.0
Barrio Norte,-34.5943743,-58.4132935,71.0,61.0,,169000.0
Caballito,-34.60657368,-58.45136118,107.0,97.0,4.0,203300.0
Once,-34.6004397,-58.4044488,125.0,125.0,,250000.0
Once,,,37.0,34.0,,68900.0
Floresta,-34.6281147,-58.4788488,185.0,145.0,5.0,300000.0
Coghlan,-34.5653209202,-58.4716025037,47.0,41.0,1.0,96000.0
Belgrano,-34.5717779,-58.4489457,45.0,39.0,2.0,109000.0
Boca,-34.638969,-58.359437,60.0,60.0,3.0,80000.0
Caballito,-34.6216312,-58.4367809,110.0,110.0,,360000.0
Paternal,-34.5958969,-58.4715637,64.0,47.0,,124267.0
Barrio Norte,-34.5927962272,-58.4096804607,79.0,54.0,,150000.0
Boca,-34.633324,-58.360062,70.0,67.0,4.0,100000.0
Palermo,-34.5905495,-58.410152,110.0,100.0,3.0,295000.0
Palermo,-34.5743447,-58.4428909,89.0,36.0,,145000.0
Belgrano,-34.5641011158,-58.4564170804,44.0,41.0,,129000.0
Villa Crespo,-34.597483,-58.445305,79.0,72.0,4.0,181556.23
Recoleta,-34.5992311,-58.3854863,117.0,111.0,,250000.0
Colegiales,-34.5784165144,-58.4402305618,50.0,44.0,2.0,119000.0
Almagro,-34.6107719,-58.4292839,46.0,43.0,2.0,120000.0
Palermo,,,48.0,43.0,3.0,139900.0
Flores,-34.6263006561,-58.4675833418,40.0,38.0,2.0,95000.0
Belgrano,-34.5591943,-58.4661081,36.0,35.0,1.0,98000.0
Caballito,-34.6176481,-58.4619167,47.0,42.0,1.0,111810.57
Caballito,-34.6209166,-58.4310862,59.0,54.0,,129000.0
Villa Crespo,-34.596715,-58.444045,40.0,36.0,2.0,75000.0
Congreso,-34.6128944,-58.3939786,48.0,42.0,2.0,80000.0
Boca,-34.631424,-58.361786,65.0,59.0,3.0,65000.0
Almagro,-34.6001313,-58.4257528,35.0,35.0,2.0,72000.0
Almagro,-34.612287,-58.422895,65.0,57.0,2.0,171593.0
Almagro,-34.6026367044,-58.4264396131,85.0,85.0,3.0,159500.0
Barrio Norte,-34.5936632,-58.3942802,122.0,110.0,3.0,305000.0
Saavedra,-34.5571992,-58.4808472,99.0,91.0,4.0,269000.0
Centro / Microcentro,-34.6125975,-58.3975229,68.0,68.0,2.0,121000.0
Palermo,-34.5861553,-58.4300609,43.0,39.0,2.0,120000.0
San Cristobal,-34.6281027,-58.3972984,59.0,52.0,,123000.0
San Telmo,-34.6328552,-58.3855479,65.0,58.0,2.0,189000.0
Villa Luro,-34.6434018,-58.4922905,62.0,60.0,,119000.0
Villa Crespo,-34.59475,-58.4398737,35.0,35.0,1.0,77000.0
Palermo,-34.5861553,-58.4300609,43.0,39.0,1.0,155000.0
San Cristobal,-34.6271638,-58.3987827,34.0,34.0,,75000.0
San Telmo,-34.6140768,-58.3790352,80.0,80.0,2.0,180000.0
Liniers,-34.6443829,-58.5190068,110.0,90.0,4.0,193000.0
Retiro,-34.5959683,-58.3753769,145.0,145.0,,370000.0
Monserrat,-34.6177447,-58.3830086,42.0,34.0,1.0,82000.0
Palermo,-34.5907652,-58.4172571,59.0,53.0,,180000.0
Balvanera,-34.6028196,-58.4050207,43.0,39.0,,104500.0
Flores,-34.6190156,-58.4632021,38.0,36.0,1.0,77500.0
Belgrano,-34.5726771,-58.4607619,77.0,70.0,3.0,225000.0
Congreso,-34.607363038,-58.3949165386,92.0,92.0,4.0,198000.0
Colegiales,-34.5817888,-58.449509,59.0,52.0,2.0,163000.0
Villa General Mitre,-34.6070562,-58.4758347,47.0,42.0,,99500.0
Floresta,-34.6274383,-58.478013,36.0,36.0,,62000.0
Villa Crespo,-34.5971308,-58.4417361,42.0,42.0,1.0,89500.0
Balvanera,-34.6045992,-58.3977411,70.0,65.0,3.0,125000.0
San Telmo,-34.6135775,-58.3731964,62.0,57.0,3.0,105000.0
Balvanera,-34.6044585,-58.4067693,120.0,86.0,,155000.0
Coghlan,-34.5622104,-58.4706739,82.0,74.0,4.0,270000.0
Villa Pueyrredón,-34.590942,-58.505919,41.0,38.0,1.0,81000.0
Recoleta,-34.5967533,-58.3841936,125.0,125.0,4.0,380000.0
Belgrano,-34.5679097,-58.4484836,100.0,95.0,4.0,235000.0
Palermo,-34.5975142,-58.4171182,56.0,45.0,2.0,103123.0
Palermo,-34.5643107,-58.4354987,56.0,51.0,2.0,190000.0
Palermo,-34.5970836,-58.3988815,51.0,44.0,,93000.0
Belgrano,-34.568388,-58.453349,112.0,99.0,4.0,290000.0
Barrio Norte,-34.5951638,-58.4045291,120.0,120.0,6.0,330000.0
Flores,-34.6263967,-58.4684759,70.0,70.0,3.0,92500.0
San Telmo,-34.6268569,-58.3728858,130.0,126.0,,215000.0
Balvanera,-34.6110779,-58.4102191,40.0,40.0,,69900.0
Caballito,-34.6205859,-58.4397399,85.0,81.0,,159000.0
Belgrano,-34.5615398,-58.4600113,39.0,39.0,2.0,120000.0
Villa Crespo,-34.5995269,-58.4299086,62.0,46.0,2.0,144200.0
Caballito,-34.607026,-58.442438,74.0,69.0,3.0,211000.0
Belgrano,-34.564511,-58.464647,122.0,122.0,4.0,357101.0
Balvanera,-34.610200296,-58.409379954,73.0,70.0,,128000.0
Villa Luro,-34.6413373,-58.5014369,169.0,146.0,,185000.0
Villa Luro,-34.6405283,-58.5294588,55.0,50.0,,150000.0
Almagro,-34.597982,-58.426876,49.0,45.0,2.0,115000.0
San Nicolás,-34.6037232,-58.3815931,213.0,213.0,12.0,270000.0
Palermo,-34.5652333,-58.440078,40.0,40.0,2.0,112000.0
Palermo,-34.586706,-58.4165427,128.0,120.0,,280000.0
San Telmo,-34.6244303,-58.3741828,80.0,46.0,2.0,134323.0
Agronomía,-34.5924699,-58.4944042,64.0,47.0,,124267.0
Villa Luro,-34.6400251777,-58.5047358251,49.0,45.0,2.0,95000.0
Almagro,-34.612287,-58.422895,41.0,34.0,1.0,97432.0
Almagro,-34.6011476,-58.4195138,39.0,37.0,2.0,75000.0
Congreso,-34.6089118,-58.3882856,75.0,75.0,4.0,145000.0
Belgrano,-34.5600319,-58.4557686,40.0,40.0,,92000.0
San Telmo,-34.6244303,-58.3741828,128.0,82.0,3.0,201929.0
Boedo,-34.6253170163,-58.420529381,85.0,49.0,2.0,144758.82
Villa Urquiza,-34.5746086,-58.5013599,77.0,73.0,3.0,144000.0
Once,-34.606452,-58.4047385,120.0,115.0,4.0,185000.0
Nuñez,-34.5495227,-58.4692294,57.0,47.0,2.0,140000.0
Constitución,-34.6313983,-58.3827009,43.0,40.0,2.0,75000.0
Saavedra,-34.5496717,-58.4758568,54.0,45.0,2.0,149800.0
Recoleta,-34.5921362,-58.4118019,90.0,87.0,3.0,190000.0
Nuñez,-34.6037137392,-58.3815808896,66.0,45.0,1.0,109000.0
Almagro,-34.6037397,-58.4162066,42.0,39.0,2.0,80000.0
Belgrano,-34.5647956791,-58.468398631,49.0,49.0,2.0,145000.0
Villa Urquiza,-34.5691342334,-58.4608172222,75.0,65.0,,169000.0
Caballito,-34.6064660985,-58.461163833,58.0,53.0,3.0,107000.0
Caballito,-34.607026,-58.442438,117.0,105.0,4.0,340000.0
Villa Luro,-34.6442699,-58.5025351,65.0,53.0,3.0,156500.0
Congreso,-34.6128141,-58.406721,44.0,44.0,3.0,74500.0
Palermo,-34.5819463286,-58.4478355242,37.0,34.0,1.0,108000.0
Almagro,-34.6036844,-58.3815591,53.0,50.0,3.0,125000.0
Flores,-34.618023,-58.4749482,44.0,41.0,2.0,84000.0
Caballito,-34.6058514,-58.4538486,49.0,43.0,2.0,110000.0
Saavedra,-34.5466334432,-58.4864857618,65.0,65.0,4.0,130000.0
Recoleta,-34.592822,-58.3847959,41.0,37.0,,141700.0
Caballito,-34.6259903,-58.4514173,61.0,61.0,3.0,163000.0
Villa Urquiza,-34.580784,-58.490679,54.0,46.0,,120000.0
Belgrano,-34.5676941,-58.4527023,135.0,125.0,4.0,300000.0
Balvanera,-34.6128697,-58.4068192,44.0,44.0,3.0,74500.0
Almagro,-34.6205274,-58.4205899,150.0,114.0,6.0,240000.0
Villa Urquiza,-34.5679755,-58.4853085,49.0,43.0,,101200.0
Villa Crespo,-34.595472,-58.443569,80.0,80.0,,162000.0
Boca,-34.6276318,-58.3589352,97.0,97.0,3.0,105000.0
Almagro,-34.6200053,-58.4326412,72.0,72.0,4.0,150000.0
Belgrano,-34.5759862,-58.4390397,40.0,34.0,,133000.0
Villa Crespo,-34.5970138957,-58.4341279413,106.0,99.0,4.0,184000.0
Villa Luro,-34.6405283,-58.5294588,55.0,50.0,,150000.0
Once,-34.60107,-58.4067179,44.0,40.0,2.0,82000.0
Caballito,-34.6148483,-58.4604643,41.0,35.0,1.0,102072.0
Almagro,-34.610953,-58.417757,37.0,34.0,1.0,86736.0
Once,-34.6002184,-58.401128,150.0,150.0,5.0,330000.0
Balvanera,-34.599442,-58.401598,40.0,34.0,1.0,92000.0
Villa Crespo,-34.6036844,-58.3815591,65.0,62.0,3.0,67500.0
Palermo,-34.5715895,-58.4337319,60.0,58.0,2.0,174000.0
Villa Urquiza,-34.5830401,-58.4685271,42.0,39.0,2.0,105000.0
Congreso,-34.6204532,-58.4029587,40.0,36.0,,119963.69
Barrio Norte,-34.5907226,-58.4093058,76.0,70.0,3.0,185000.0
Monserrat,-34.6130871,-58.3813599,39.0,35.0,,84500.0
Villa Crespo,-34.6023228,-58.4294044,94.0,82.0,,235000.0
Palermo,-34.5817895,-58.4143532,95.0,85.0,,240000.0
Parque Centenario,-34.6087573,-58.4298324,43.0,38.0,,90000.0
San Telmo,-34.6268044,-58.374585,260.0,160.0,1.0,320000.0
Caballito,-34.6063147,-58.4552427,76.0,64.0,3.0,100000.0
Nuñez,-34.5546333,-58.4673952,53.0,42.0,2.0,138500.0
Congreso,-34.6118874,-58.3974194,98.0,92.0,4.0,128000.0
Balvanera,-34.609317,-58.4018666,106.0,106.0,4.0,139000.0
Caballito,-34.626039,-58.432732,47.0,42.0,2.0,125000.0
Palermo,-34.5811121,-58.424293,54.0,45.0,2.0,129000.0
Boedo,-34.6214357,-58.4242883,41.0,39.0,2.0,89900.0
Belgrano,-34.5814909,-58.4483922,55.0,51.0,2.0,183000.0
Floresta,-34.6224065,-58.477773,52.0,45.0,2.0,85000.0
Saavedra,-34.5537134,-58.4757488,70.0,70.0,4.0,108000.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,82803.88
Balvanera,-34.6120655,-58.4057337,85.0,85.0,4.0,150000.0
Caballito,-34.6264081,-58.4502452,101.0,90.0,4.0,220000.0
Villa Real,-34.616223,-58.527957,90.0,81.0,3.0,118000.0
Centro / Microcentro,-34.6094627,-58.3959249,41.0,41.0,2.0,94000.0
Villa Crespo,-34.5998526,-58.4369419,46.0,41.0,,109000.0
Almagro,-34.6033635,-58.3761939,85.0,78.0,3.0,148000.0
Flores,-34.633333,-58.466667,140.0,111.0,4.0,245000.0
Monserrat,-34.61016,-58.372036,135.0,130.0,5.0,280000.0
Barrio Norte,-34.5996078,-58.3915815,90.0,85.0,3.0,190000.0
Villa Urquiza,-34.5722664,-58.479937,49.0,43.0,2.0,132000.0
Almagro,-34.6095979,-58.4189946,58.0,54.0,2.0,119000.0
Barrio Norte,-34.5885074,-58.401129,85.0,85.0,4.0,225000.0
Villa Crespo,-34.6029019,-58.4336651,100.0,92.0,4.0,200000.0
Villa Urquiza,-34.556789,-58.463053,150.0,135.0,4.0,250000.0
Flores,-34.6037137392,-58.3815808896,95.0,83.0,4.0,255000.0
Boca,-34.627747,-58.359168,57.0,57.0,3.0,65000.0
Balvanera,-34.6065576,-58.4007996,80.0,80.0,4.0,115000.0
Once,-34.6128697,-58.4068192,44.0,44.0,3.0,74500.0
Parque Centenario,-34.6025627,-58.4419902,70.0,70.0,3.0,139500.0
Nuñez,-34.5413289,-58.473409,47.0,35.0,2.0,34346.0
Belgrano,-34.5653291,-58.4574671,85.0,77.0,3.0,165000.0
Palermo,-34.5740592,-58.4215043,71.0,67.0,3.0,265000.0
Villa Crespo,-34.6047969,-58.454126,51.0,45.0,2.0,136000.0
Coghlan,-34.5653209202,-58.4716025037,39.0,35.0,1.0,79000.0
Caballito,-34.6274263,-58.4470042,185.0,156.0,4.0,400000.0
Balvanera,-34.6089118,-58.3882856,75.0,75.0,4.0,145000.0
Villa General Mitre,-34.6148346,-58.4663066,126.0,84.0,4.0,227000.0
San Telmo,-34.6233348,-58.3748384,40.0,38.0,1.0,85267.0
Palermo,-34.5625,-58.458333,55.0,44.0,2.0,240000.0
Belgrano,-34.577168,-58.538654,100.0,100.0,3.0,90000.0
Colegiales,-34.571526029,-58.4556371704,82.0,77.0,3.0,159900.0
Colegiales,-34.578688,-58.457358,79.0,50.0,2.0,123875.0
Almagro,-34.603732,-58.430385,39.0,39.0,1.0,93000.0
Palermo,-34.5844413853,-58.4258408735,50.0,50.0,,148000.0
Saavedra,-34.5546524,-58.4936437,103.0,85.0,4.0,225532.0
Almagro,-34.6111914,-58.4191533,58.0,58.0,3.0,117000.0
Belgrano,-34.5546892452,-58.4670877302,53.0,42.0,2.0,138500.0
Once,-34.6068546,-58.4087282,35.0,35.0,2.0,65000.0
San Telmo,-34.624129,-58.365332,108.0,108.0,3.0,218000.0
Balvanera,-34.6175114,-58.3961355,50.0,37.0,2.0,69500.0
Villa Crespo,-34.5997176,-58.431371,38.0,36.0,2.0,75000.0
Once,-34.5655303,-58.5354009,170.0,170.0,7.0,250000.0
Flores,-34.6212406,-58.4666283,43.0,40.0,,69900.0
Villa Crespo,-34.5989241,-58.4437603,41.0,36.0,1.0,92000.0
Caballito,-34.6114787,-58.4316661,108.0,100.0,,185000.0
Palermo,-34.5816906,-58.4433183,41.0,36.0,,118000.0
Villa Pueyrredón,-34.5765536,-58.4965425,52.0,44.0,,114000.0
Barracas,-34.631591,-58.370191,49.0,42.0,1.0,84533.62
Barrio Norte,-34.5973509,-58.403415,55.0,50.0,3.0,125000.0
Barrio Norte,-34.5965341,-58.3809608,72.0,72.0,3.0,145000.0
Villa Crespo,-34.5948962,-58.4414804,70.0,58.0,3.0,155000.0
Boedo,-34.6161011,-58.4110759,46.0,42.0,,110000.0
Villa Urquiza,-34.5730538,-58.4860784,58.0,58.0,,120000.0
Villa Ortuzar,-34.5816538,-58.4684523,44.0,39.0,,98000.0
Caballito,-34.6176481,-58.4619167,50.0,45.0,1.0,117726.47
Villa Crespo,-34.5969463,-58.445366,56.0,48.0,2.0,130000.0
Pompeya,,,53.0,42.0,,70000.0
Villa Urquiza,-34.5722143,-58.4866501,60.0,57.0,3.0,119000.0
Constitución,-34.6245839,-58.381363,40.0,40.0,,58000.0
Coghlan,-34.5742368234,-58.4725524607,86.0,81.0,,230000.0
Villa del Parque,-34.5983352,-58.4887415,52.0,50.0,,99900.0
Villa Crespo,-34.5867561,-58.4312414,60.0,50.0,3.0,110000.0
Colegiales,-34.5834327,-58.4491033,75.0,65.0,2.0,165000.0
Palermo,-34.5831227,-58.4258265,50.0,39.0,,89000.0
Boedo,-34.625565,-58.427072,88.0,79.0,4.0,160000.0
Barracas,-34.6340992,-58.3756215,52.0,52.0,3.0,100000.0
Almagro,-34.603792,-58.435575,54.0,45.0,2.0,93500.0
Parque Chacabuco,-34.6421604,-58.423024,51.0,47.0,2.0,85000.0
Recoleta,-34.5903395,-58.3936166,120.0,120.0,4.0,360000.0
Barrio Norte,-34.5969363,-58.4081828,60.0,51.0,2.0,199800.0
Villa Crespo,-34.6031267,-58.4410494,41.0,36.0,1.0,95500.0
Caballito,-34.615886,-58.437991,88.0,69.0,3.0,219000.0
Palermo,-34.5915446,-58.4093169,49.0,45.0,2.0,122655.0
Palermo,-34.5913091,-58.4142362,102.0,90.0,4.0,260000.0
Villa Crespo,-34.5971308,-58.4417361,38.0,34.0,1.0,77000.0
Villa Crespo,-34.5961219,-58.4255006,75.0,64.0,3.0,158000.0
Caballito,-34.6087862,-58.4304906,40.0,40.0,,87000.0
Belgrano,-34.5506896,-58.4589535,37.0,34.0,,115000.0
Almagro,-34.6072245,-58.4299827,57.0,55.0,3.0,155000.0
Almagro,-34.6004227,-58.420585,36.0,34.0,,110000.0
Villa Lugano,,,68.0,68.0,4.0,55000.0
Villa Urquiza,-34.570884,-58.4886936,116.0,96.0,4.0,380856.97
Parque Avellaneda,-34.6446433,-58.4930965,79.0,65.0,,130000.0
Palermo,-34.5969778,-58.4117573,58.0,49.0,2.0,138000.0
Villa Devoto,-34.5993371549,-58.485000192,47.0,42.0,,103000.0
Villa Luro,-34.6442699,-58.5025351,59.0,44.0,2.0,119500.0
Liniers,-34.652158,-58.524548,53.0,50.0,2.0,95000.0
Belgrano,-34.5643107,-58.4354987,76.0,70.0,,210000.0
Almagro,-34.6013755,-58.4262554,36.0,34.0,1.0,83000.0
Flores,-34.6264841455,-58.460080827,65.0,56.0,,142588.42
Retiro,-34.5928175,-58.3766128,153.0,153.0,4.0,320000.0
Saavedra,-34.5596836,-58.4904958,97.0,75.0,3.0,220000.0
Caballito,-34.627586,-58.4398439,51.0,47.0,2.0,130000.0
Barrio Norte,-34.5970267,-58.4032272,149.0,109.0,4.0,249000.0
Villa Crespo,-34.5977183359,-58.4304008701,37.0,34.0,1.0,82393.28
Villa Crespo,-34.6017235,-58.4331251,55.0,53.0,3.0,140000.0
Flores,-34.6256447,-58.4611155,42.0,38.0,,85140.0
Flores,-34.6195076,-58.4780504,48.0,46.0,2.0,94600.0
Caballito,-34.6240306,-58.4306873,49.0,45.0,2.0,143305.0
Villa Urquiza,-34.5711377804,-58.480766781,66.0,61.0,,190000.0
Almagro,-34.6172737911,-58.4154084613,53.0,49.0,,89800.0
San Nicolás,-34.60083,-58.37169,43.0,43.0,1.0,75000.0
San Telmo,,,52.0,47.0,2.0,126094.0
Almagro,-34.6166791,-58.4183802,45.0,36.0,,93000.0
Flores,-34.6404629,-58.5290105,66.0,63.0,3.0,120000.0
Villa Devoto,-34.6051862,-58.516304,67.0,58.0,3.0,112000.0
Floresta,-34.6298256,-58.4803519,40.0,35.0,2.0,87000.0
Floresta,,,45.0,40.0,,78000.0
Congreso,-34.6117139507,-58.396790473,71.0,71.0,3.0,125000.0
Belgrano,-34.5548321,-58.4397076,47.0,45.0,1.0,149900.0
Villa Crespo,-34.5905097,-58.4407156,66.0,54.0,2.0,145000.0
Balvanera,-34.613948,-58.3932142,58.0,52.0,3.0,125000.0
Boedo,-34.62335,-58.420518,74.0,36.0,1.0,115359.82
Belgrano,-34.5701591,-58.4421064,43.0,39.0,2.0,141000.0
Caballito,,,74.0,74.0,3.0,145000.0
Coghlan,-34.5653209202,-58.4716025037,39.0,35.0,1.0,79000.0
Barracas,-34.6294585697,-58.3705008325,118.0,110.0,4.0,320000.0
Belgrano,-34.5554838,-58.4626315,45.0,45.0,2.0,122000.0
Palermo,-34.5859299,-58.4404055,44.0,34.0,1.0,103000.0
Palermo,-34.5763588,-58.4242516,76.0,60.0,2.0,350000.0
Palermo,-34.5907652,-58.4172571,61.0,56.0,,181000.0
Monserrat,-34.6189857,-58.3829988,50.0,50.0,3.0,95000.0
Congreso,-34.6146546021,-58.4036466111,95.0,92.0,,135000.0
Puerto Madero,-34.6153103,-58.3619834,51.0,47.0,2.0,181937.0
Coghlan,-34.5545466572,-58.4686173317,53.0,41.0,2.0,122750.0
Villa Crespo,-34.6073660004,-58.4572502676,184.0,106.0,4.0,159500.0
Balvanera,-34.6066966,-58.4086925,60.0,60.0,3.0,71000.0
Once,-34.6046253,-58.4050569,84.0,84.0,4.0,135000.0
Belgrano,-34.5743447,-58.4428909,90.0,38.0,2.0,145000.0
Palermo,-34.5776851,-58.4243307,96.0,84.0,3.0,398000.0
Villa Crespo,-34.5985243,-58.4348637,60.0,60.0,,93000.0
Boedo,-34.6267687,-58.4252038,58.0,50.0,,108782.86
Parque Chacabuco,-34.6421604,-58.423024,92.0,44.0,2.0,99000.0
Mataderos,-34.6540398,-58.5062386,42.0,38.0,2.0,96900.0
Caballito,-34.6066676,-58.4491557,43.0,40.0,,82000.0
Liniers,-34.6428398,-58.5261689,78.0,69.0,3.0,92000.0
Caballito,-34.6205566,-58.4448674,44.0,42.0,,98000.0
Parque Chacabuco,-34.6421604,-58.423024,51.0,47.0,2.0,82500.0
Flores,-34.6195076,-58.4780504,48.0,46.0,2.0,96900.0
Villa Crespo,-34.5958168,-58.4474666,37.0,34.0,,73900.0
Villa del Parque,-34.5991391,-58.4866606,48.0,44.0,2.0,135000.0
Villa del Parque,-34.6122943,-58.4804601,68.0,65.0,3.0,124000.0
Saavedra,-34.5485266,-58.4830367,39.0,39.0,,95000.0
Nuñez,-34.542102,-58.466396,95.0,75.0,,258000.0
Almagro,-34.6046824,-58.4196284,86.0,76.0,3.0,184900.0
Villa Crespo,-34.5976786,-58.4430195,75.0,70.0,3.0,149000.0
Saavedra,-34.5420200443,-58.4769201279,54.0,49.0,,100000.0
Palermo,-34.5749333,-58.4405969,38.0,35.0,1.0,100000.0
Balvanera,-34.6166842,-58.4115653,50.0,50.0,2.0,79900.0
Puerto Madero,-34.6153103,-58.3619834,62.0,56.0,3.0,220632.0
Caballito,-34.6102119,-58.441081,50.0,50.0,,109800.0
Boedo,-34.6269794,-58.4185548,64.0,48.0,,148000.0
Once,-34.6102366792,-58.4066613069,40.0,40.0,,72000.0
Floresta,-34.6315368,-58.4761251,88.0,86.0,3.0,160000.0
Flores,-34.6298425,-58.4654617,63.0,63.0,3.0,130000.0
Almagro,-34.61098,-58.417856,77.0,71.0,3.0,194435.0
Palermo,-34.5795765,-58.4077476,61.0,58.0,3.0,260000.0
Almagro,-34.6104008,-58.4198453,43.0,40.0,,85000.0
Boca,-34.6336711,-58.3635546,66.0,63.0,3.0,89000.0
Nuñez,-34.5527712,-58.4669984,48.0,43.0,2.0,131000.0
Villa Crespo,-34.5971159,-58.4417984,62.0,53.0,3.0,115000.0
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,100035.51
Palermo,-34.574547,-58.4343478,53.0,45.0,3.0,188000.0
Belgrano,-34.5574543,-58.4487158,55.0,55.0,3.0,135000.0
Liniers,-34.6395525,-58.519663,68.0,63.0,3.0,200000.0
Villa Pueyrredón,-34.5838856,-58.5063984,83.0,60.0,,130000.0
Centro / Microcentro,-34.606283,-58.3922029,69.0,59.0,2.0,153000.0
Almagro,-34.603118,-58.421301,98.0,90.0,4.0,185000.0
Villa Crespo,-34.5952048,-58.4418424,38.0,35.0,2.0,84000.0
Saavedra,-34.5546524,-58.4936437,40.0,35.0,1.0,83283.0
Balvanera,-34.6011344,-58.4016893,60.0,60.0,,180000.0
Once,-34.6070871,-58.4035704,153.0,109.0,4.0,150000.0
Palermo,-34.5853965,-58.4397049,75.0,64.0,2.0,210000.0
Flores,-34.633431,-58.454762,204.0,178.0,6.0,295000.0
Flores,-34.6171646,-58.4696367,100.0,85.0,,125000.0
Flores,-34.6274575,-58.4561777,84.0,84.0,,129000.0
Parque Centenario,-34.601057,-58.437675,80.0,72.0,3.0,158000.0
Villa Crespo,-34.6025527,-58.4271351,47.0,43.0,,118750.0
Agronomía,-34.5989671594,-58.4057941858,56.0,49.0,3.0,140000.0
Floresta,-34.6328224,-58.483932,110.0,96.0,3.0,149000.0
Villa Urquiza,-34.5685537,-58.4878539,83.0,75.0,,210000.0
Palermo,-34.6069814,-58.4163065,40.0,40.0,2.0,67000.0
Belgrano,-34.5552851,-58.4610938,65.0,57.0,3.0,140000.0
Palermo,-34.6037137392,-58.3815808896,107.0,61.0,2.0,214200.0
Belgrano,-34.5557983,-58.4486515,60.0,55.0,2.0,175000.0
Barracas,-34.633535,-58.369552,62.0,53.0,3.0,127000.0
Parque Chacabuco,-34.6036844,-58.3815591,185.0,90.0,,228000.0
Recoleta,-34.598091384,-58.4007604905,99.0,95.0,,230000.0
Villa Pueyrredón,-34.5745704357,-58.5087118149,55.0,55.0,,80000.0
Flores,-34.6252802017,-58.4574794769,47.0,41.0,,115000.0
Palermo,-34.5893767,-58.4190409,34.0,34.0,,80000.0
Boca,-34.633422,-58.355104,101.0,94.0,5.0,119000.0
Congreso,,,46.0,46.0,3.0,89000.0
Constitución,-34.6249464,-58.3883756,41.0,41.0,,65000.0
Villa Crespo,-34.6047969,-58.454126,47.0,41.0,2.0,105000.0
Palermo,-34.5978662,-58.415931,78.0,50.0,2.0,140000.0
Villa Santa Rita,-34.6109312376,-58.4831170645,61.0,58.0,,135000.0
Coghlan,-34.564492,-58.4723806,74.0,72.0,3.0,187000.0
Puerto Madero,-34.5863396838,-58.4108273298,65.0,65.0,3.0,295000.0
Villa Urquiza,-34.5691361962,-58.4770272265,44.0,39.0,1.0,99000.0
Villa Crespo,-34.6100388,-58.4526612,72.0,65.0,3.0,195000.0
Villa Crespo,-34.6045043,-58.4372375,70.0,70.0,3.0,139500.0
Villa Urquiza,-34.5758276,-58.4951948,53.0,44.0,2.0,125000.0
Once,-34.6061654,-58.4085255,85.0,85.0,,140000.0
Abasto,-34.604567,-58.4070449,38.0,38.0,3.0,81000.0
Saavedra,-34.5576080248,-58.4805825768,57.0,51.0,2.0,164000.0
Flores,-34.6272169052,-58.4711306423,42.0,39.0,2.0,79000.0
Monserrat,-34.6200294,-58.3888623,60.0,54.0,2.0,92000.0
Almagro,-34.6026497737,-58.4368541662,71.0,66.0,2.0,142000.0
Belgrano,-34.5683253662,-58.4492727939,55.0,49.0,3.0,109000.0
Flores,-34.6264841455,-58.460080827,68.0,56.0,,153769.25
Villa Urquiza,,,44.0,37.0,1.0,85000.0
Palermo,-34.5899723,-58.4236546,60.0,55.0,1.0,115000.0
Belgrano,-34.5576708,-58.4645865,39.0,37.0,1.0,120000.0
Villa Crespo,-34.5865365,-58.4083262,66.0,54.0,3.0,135000.0
Barrio Norte,-34.5948049018,-58.3924727228,66.0,52.0,2.0,180000.0
San Telmo,,,52.0,47.0,2.0,121515.0
San Telmo,-34.6233348,-58.3748384,42.0,38.0,1.0,94765.0
Congreso,-34.6037232,-58.3815931,100.0,100.0,,195000.0
Agronomía,-34.6004038,-58.4954328,102.0,85.0,,165000.0
Palermo,-34.5864399,-58.4106629,90.0,78.0,4.0,290000.0
Belgrano,-34.5709453,-58.433038,45.0,42.0,2.0,225000.0
Parque Patricios,-34.6353994,-58.3959943,42.0,39.0,2.0,104000.0
Belgrano,-34.5638424,-58.4566327,47.0,37.0,1.0,154900.0
Palermo,-34.580089,-58.433594,68.0,63.0,3.0,181000.0
Palermo,-34.5878061,-58.4327869,68.0,59.0,3.0,215000.0
Villa Urquiza,-34.5718762094,-58.4877971841,92.0,87.0,,180000.0
Almagro,-34.6048156,-58.4219027,82.0,76.0,3.0,160000.0
Villa del Parque,-34.602664,-58.489005,150.0,150.0,4.0,295000.0
Parque Centenario,-34.6041361,-58.4419685,71.0,67.0,4.0,150000.0
Colegiales,-34.5742018757,-58.4488006169,90.0,60.0,3.0,183000.0
Villa Urquiza,-34.5684053,-58.48757,55.0,47.0,2.0,119000.0
